club,stage,advancement_score
Ajax,Round of 16,2
Atalanta,Group Stage,1
Atlético,Quarterfinal,3
Barcelona,Group Stage,1
Bayern,Quarterfinal,3
Benfica,Quarterfinal,3
Beşiktaş,Group Stage,1
Chelsea,Quarterfinal,3
Club Brugge,Group Stage,1
Dortmund,Group Stage,1
Dynamo Kyiv,Group Stage,1
Inter,Round of 16,2
Juventus,Round of 16,2
LOSC,Round of 16,2
Leipzig,Group Stage,1
Liverpool,Runner-up,5
Malmö,Group Stage,1
Man. City,Semifinal,4
Man. United,Round of 16,2
Milan,Group Stage,1
Paris,Round of 16,2
Porto,Group Stage,1
Real Madrid,Champion,6
Salzburg,Round of 16,2
Sevilla,Group Stage,1
Shakhtar Donetsk,Group Stage,1
Sheriff,Group Stage,1
Sporting CP,Round of 16,2
Villarreal,Semifinal,4
Wolfsburg,Group Stage,1
Young Boys,Group Stage,1
Zenit,Group Stage,1
