player_name,club,value,category
Benzema,Real Madrid,15,Goals
Lewandowski,Bayern,13,Goals
Haller,Ajax,11,Goals
Salah,Liverpool,8,Goals
Nkunku,Leipzig,7,Goals
Mahrez,Man. City,7,Goals
Mbappé,Paris,6,Goals
Núñez,Benfica,6,Goals
Ronaldo,Man. United,6,Goals
Danjuma,Villarreal,6,Goals
Sané,Bayern,6,Goals
Firmino,Liverpool,5,Goals
Mané,Liverpool,5,Goals
Rodrygo,Real Madrid,5,Goals
Messi,Paris,5,Goals
Jesus,Man. City,4,Goals
Werner,Chelsea,4,Goals
Pedro Gonçalves,Sporting CP,4,Goals
Vinícius Júnior,Real Madrid,4,Goals
Luis Díaz,Liverpool,4,Goals
Müller,Bayern,4,Goals
Griezmann,Atlético,4,Goals
Bruno Fernandes,Man. United,7,Assists
Vinícius Júnior,Real Madrid,6,Assists
Sané,Bayern,6,Assists
Antony,Ajax,5,Assists
Alexander-Arnold,Liverpool,4,Assists
De Bruyne,Man. City,4,Assists
Modrić,Real Madrid,4,Assists
João Mário,Benfica,4,Assists
Mbappé,Paris,4,Assists
Gerard Moreno,Villarreal,4,Assists
Capoue,Villarreal,4,Assists
Parejo,Villarreal,3,Assists
Grimaldo,Benfica,3,Assists
Müller,Bayern,3,Assists
Arnold,Wolfsburg,3,Assists
Angeliño,Leipzig,3,Assists
Coman,Bayern,3,Assists
Bernardo Silva,Man. City,3,Assists
Bellingham,Dortmund,3,Assists
Zapata,Atalanta,3,Assists
Lewandowski,Bayern,3,Assists
João Cancelo,Man. City,3,Assists
Cristiano,Sheriff,3,Assists
Casemiro,Real Madrid,13,Tackles Won
Éder Militão,Real Madrid,6,Tackles Won
Reinildo,Atlético,6,Tackles Won
Fabinho,Liverpool,9,Tackles Won
Albiol,Villarreal,6,Tackles Won
Otamendi,Benfica,17,Tackles Won
João Cancelo,Man. City,6,Tackles Won
Foyth,Villarreal,10,Tackles Won
Pavard,Bayern,7,Tackles Won
Konaté,Liverpool,11,Tackles Won
Rodri,Man. City,10,Tackles Won
Vertonghen,Benfica,6,Tackles Won
Carvajal,Real Madrid,6,Tackles Won
André,LOSC,12,Tackles Won
Alaba,Real Madrid,12,Tackles Won
L. Hernández,Bayern,6,Tackles Won
Gilberto,Benfica,8,Tackles Won
Parejo,Villarreal,8,Tackles Won
Fonte,LOSC,9,Tackles Won
Seiwald,Salzburg,6,Tackles Won
Lauper,Young Boys,7,Tackles Won
Kimmich,Bayern,6,Tackles Won
Camara,Salzburg,7,Tackles Won
Barrios,Zenit,7,Tackles Won
Christensen,Chelsea,6,Tackles Won
Souza,Beşiktaş,12,Tackles Won
Thiago Alcántara,Liverpool,11,Tackles Won
Mazraoui,Ajax,10,Tackles Won
Kondogbia,Atlético,6,Tackles Won
Fernando Costanza,Sheriff,13,Tackles Won
Wöber,Salzburg,6,Tackles Won
Tiago Djaló,LOSC,6,Tackles Won
Brozović,Inter,6,Tackles Won
Škriniar,Inter,6,Tackles Won
Dodô,Shakhtar Donetsk,6,Tackles Won
João Palhinha,Sporting CP,11,Tackles Won
Kristensen,Salzburg,8,Tackles Won
Weigl,Benfica,12,Tackles Won
Grimaldo,Benfica,6,Tackles Won
Rakitskyy,Zenit,7,Tackles Won
Romagnoli,Milan,7,Tackles Won
